Temperature - (Celsius), Year, Month, Country, ISO3
28.2684, 1991, Jan, Australia, AUS
27.9415, 1991, Feb, Australia, AUS
25.7541, 1991, Mar, Australia, AUS
22.2463, 1991, Apr, Australia, AUS
18.4007, 1991, May, Australia, AUS
16.6841, 1991, Jun, Australia, AUS
14.5126, 1991, Jul, Australia, AUS
16.0875, 1991, Aug, Australia, AUS
19.6025, 1991, Sep, Australia, AUS
24.0968, 1991, Oct, Australia, AUS
25.3554, 1991, Nov, Australia, AUS
26.7959, 1991, Dec, Australia, AUS
27.5299, 1992, Jan, Australia, AUS
27.4986, 1992, Feb, Australia, AUS
26.454, 1992, Mar, Australia, AUS
22.7215, 1992, Apr, Australia, AUS
18.2617, 1992, May, Australia, AUS
15.1514, 1992, Jun, Australia, AUS
14.7177, 1992, Jul, Australia, AUS
15.8972, 1992, Aug, Australia, AUS
18.6117, 1992, Sep, Australia, AUS
21.8763, 1992, Oct, Australia, AUS
23.8451, 1992, Nov, Australia, AUS
26.3492, 1992, Dec, Australia, AUS
28.4114, 1993, Jan, Australia, AUS
26.9377, 1993, Feb, Australia, AUS
25.6066, 1993, Mar, Australia, AUS
23.1719, 1993, Apr, Australia, AUS
18.5887, 1993, May, Australia, AUS
14.7781, 1993, Jun, Australia, AUS
15.026, 1993, Jul, Australia, AUS
16.4257, 1993, Aug, Australia, AUS
19.0132, 1993, Sep, Australia, AUS
21.8471, 1993, Oct, Australia, AUS
25.716, 1993, Nov, Australia, AUS
26.3739, 1993, Dec, Australia, AUS
28.6203, 1994, Jan, Australia, AUS
27.1061, 1994, Feb, Australia, AUS
24.7469, 1994, Mar, Australia, AUS
21.8727, 1994, Apr, Australia, AUS
18.3158, 1994, May, Australia, AUS
14.9882, 1994, Jun, Australia, AUS
14.4436, 1994, Jul, Australia, AUS
15.4138, 1994, Aug, Australia, AUS
19.1802, 1994, Sep, Australia, AUS
23.054, 1994, Oct, Australia, AUS
25.4256, 1994, Nov, Australia, AUS
27.9447, 1994, Dec, Australia, AUS
28.1464, 1995, Jan, Australia, AUS
26.7689, 1995, Feb, Australia, AUS
24.8418, 1995, Mar, Australia, AUS
21.2076, 1995, Apr, Australia, AUS
17.5488, 1995, May, Australia, AUS
15.26, 1995, Jun, Australia, AUS
14.4776, 1995, Jul, Australia, AUS
16.919, 1995, Aug, Australia, AUS
20.1211, 1995, Sep, Australia, AUS
22.4124, 1995, Oct, Australia, AUS
25.5908, 1995, Nov, Australia, AUS
26.5282, 1995, Dec, Australia, AUS
27.9174, 1996, Jan, Australia, AUS
27.4699, 1996, Feb, Australia, AUS
25.5502, 1996, Mar, Australia, AUS
21.6897, 1996, Apr, Australia, AUS
18.2965, 1996, May, Australia, AUS
16.9452, 1996, Jun, Australia, AUS
14.9305, 1996, Jul, Australia, AUS
16.4164, 1996, Aug, Australia, AUS
19.5699, 1996, Sep, Australia, AUS
23.0588, 1996, Oct, Australia, AUS
25.1612, 1996, Nov, Australia, AUS
26.9685, 1996, Dec, Australia, AUS
27.4049, 1997, Jan, Australia, AUS
28.0478, 1997, Feb, Australia, AUS
