avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Activity
42.0,0.0,18.5,0.5,12.0,0.0,bending1
42.0,0.0,18.0,0.0,11.33,0.94,bending1
42.75,0.43,16.75,1.79,18.25,0.43,bending1
42.5,0.5,16.75,0.83,19.0,1.22,bending1
43.0,0.82,16.25,0.83,18.0,0.0,bending1
43.67,0.47,12.75,0.83,19.0,0.82,bending1
43.5,0.5,12.0,0.0,19.75,0.43,bending1
43.5,0.5,13.75,0.83,18.5,0.5,bending1
43.33,0.47,15.33,0.47,20.5,0.5,bending1
43.5,0.5,18.0,1.87,20.5,0.87,bending1
43.5,0.5,18.5,0.5,19.5,1.66,bending1
43.75,0.83,19.67,0.47,16.0,0.82,bending1
44.25,0.43,21.0,0.0,17.2,0.75,bending1
44.0,0.71,21.0,0.0,16.5,0.87,bending1
43.75,0.83,19.25,1.3,17.25,2.28,bending1
43.75,0.43,20.0,1.41,19.33,0.94,bending1
43.33,0.94,18.0,1.41,21.33,0.47,bending1
42.5,0.87,13.75,1.3,19.5,1.66,bending1
42.33,0.47,17.0,1.41,16.25,1.3,bending1
41.75,0.43,17.25,0.83,14.0,1.0,bending1
41.5,0.5,15.5,1.12,17.0,1.22,bending1
42.0,0.0,16.5,0.5,19.25,0.83,bending1
42.67,0.47,17.0,1.22,22.0,1.63,bending1
42.0,0.0,15.0,0.0,23.5,0.5,bending1
41.5,0.5,14.67,0.47,24.0,0.0,bending1
40.75,0.83,15.0,1.22,23.75,0.43,bending1
41.5,0.5,17.25,0.83,24.75,1.3,bending1
42.0,0.0,16.0,0.0,27.33,0.47,bending1
42.0,0.0,15.33,2.49,28.5,0.87,bending1
42.0,0.0,8.0,3.27,26.75,1.79,bending1
42.75,0.83,11.25,3.34,23.0,1.22,bending1
42.67,0.47,10.67,1.25,21.0,0.0,bending1
42.2,0.4,12.2,0.4,21.17,0.37,bending1
42.75,0.43,14.5,0.5,21.0,0.0,bending1
43.5,0.5,15.0,0.0,21.0,0.0,bending1
43.67,0.47,15.0,0.0,21.33,0.47,bending1
44.5,0.5,15.0,0.0,21.0,0.0,bending1
44.5,0.5,14.75,0.43,21.25,0.43,bending1
44.5,0.5,15.0,0.0,21.25,0.43,bending1
44.25,0.83,14.5,0.5,21.0,0.0,bending1
44.5,0.5,15.0,0.0,21.0,0.0,bending1
44.5,0.5,15.0,0.0,21.0,0.0,bending1
44.5,0.5,15.0,0.0,21.0,0.0,bending1
44.5,0.5,14.75,0.43,21.0,0.0,bending1
43.5,1.12,11.5,0.5,21.75,0.43,bending1
42.25,0.43,15.25,4.44,23.25,1.92,bending1
42.0,0.0,14.75,3.42,26.67,2.05,bending1
44.0,0.82,13.67,1.25,30.25,0.43,bending1
42.75,0.83,19.75,1.09,30.5,0.87,bending1
42.0,0.0,20.25,0.83,30.75,0.83,bending1
42.0,0.0,21.5,0.5,30.67,0.47,bending1
42.25,0.43,24.0,0.0,30.0,0.0,bending1
42.5,0.5,24.75,0.43,30.0,0.0,bending1
42.5,0.5,26.33,0.47,30.0,0.0,bending1
42.5,0.5,25.25,0.43,29.5,0.5,bending1
42.67,0.47,24.5,0.5,29.0,0.0,bending1
42.33,0.47,24.33,0.47,29.75,0.43,bending1
42.8,0.4,24.8,0.4,29.5,0.5,bending1
42.5,0.5,24.67,0.47,30.0,0.0,bending1
42.5,0.5,25.0,0.0,29.25,0.43,bending1
42.75,0.83,23.5,1.5,29.75,0.43,bending1
42.75,0.43,13.25,2.86,30.5,0.5,bending1
43.0,0.71,9.5,5.12,30.25,0.43,bending1
42.75,0.83,12.5,5.17,30.0,0.0,bending1
42.5,0.5,19.0,1.22,30.0,0.0,bending1
42.67,0.47,13.0,2.55,30.33,0.47,bending1
42.0,0.0,5.5,2.5,30.0,0.0,bending1
41.75,0.43,4.0,0.0,30.0,0.0,bending1
42.0,0.0,7.0,1.41,29.5,0.5,bending1
42.0,0.0,8.25,1.09,30.0,0.0,bending1
42.0,0.0,12.0,0.0,30.0,0.0,bending1
42.0,0.0,14.67,2.05,30.0,0.0,bending1
42.0,0.0,17.0,0.71,30.0,0.0,bending1
42.0,0.0,15.5,0.5,30.0,0.0,bending1
42.0,0.0,16.5,0.87,30.0,0.0,bending1
42.0,0.0,12.5,2.29,30.0,0.0,bending1
42.0,0.0,13.0,1.41,30.0,0.0,bending1
42.0,0.0,14.25,1.48,30.0,0.0,bending1
42.0,0.0,15.75,1.92,30.0,0.0,bending1
42.0,0.0,18.0,0.0,30.0,0.0,bending1
42.0,0.0,17.25,0.83,30.0,0.0,bending1
42.0,0.0,17.25,1.79,29.75,0.43,bending1
42.0,0.0,17.5,0.5,30.0,0.0,bending1
42.0,0.0,18.0,0.0,30.0,0.0,bending1
42.0,0.0,15.5,1.12,30.0,0.0,bending1
42.67,0.47,13.67,2.49,30.25,0.43,bending1
44.5,0.5,17.0,1.22,28.0,1.22,bending1
45.0,0.0,13.0,1.0,26.5,0.87,bending1
45.0,0.0,13.0,1.58,25.25,1.3,bending1
43.75,1.09,12.5,0.87,22.25,1.3,bending1
42.75,0.83,15.0,0.0,18.75,0.83,bending1
42.0,0.0,12.5,1.5,17.5,0.5,bending1
41.5,0.5,11.25,0.83,14.5,0.87,bending1
42.0,0.0,14.25,0.83,15.5,1.8,bending1
42.0,0.0,15.0,0.0,18.33,0.47,bending1
42.0,0.0,14.5,0.5,20.75,0.43,bending1
42.0,0.0,18.5,1.12,16.0,1.41,bending1
42.0,0.0,17.25,0.83,15.75,0.83,bending1
42.0,0.0,15.75,0.43,13.0,0.71,bending1
42.0,0.0,14.0,0.82,14.25,1.3,bending1
42.0,0.0,13.0,0.71,18.25,2.17,bending1
42.25,0.43,12.0,0.0,21.25,0.43,bending1
42.25,0.43,12.5,0.5,22.0,0.71,bending1
42.25,0.43,13.0,0.0,21.5,0.5,bending1
42.75,0.83,13.5,0.5,22.5,0.5,bending1
43.0,0.71,12.5,0.5,22.75,0.43,bending1
42.5,0.5,12.25,0.43,22.25,0.43,bending1
43.0,1.0,12.0,0.0,23.0,0.0,bending1
43.5,0.5,11.5,0.87,23.5,0.5,bending1
43.67,0.47,12.0,0.0,23.33,0.47,bending1
43.5,0.5,14.0,1.0,22.75,0.43,bending1
43.5,0.5,15.75,0.83,21.25,0.43,bending1
43.67,0.47,17.33,0.47,21.0,0.0,bending1
44.5,0.5,18.0,0.0,21.0,0.0,bending1
44.25,0.43,17.0,0.71,21.67,0.47,bending1
44.0,0.71,16.25,0.43,22.0,0.71,bending1
43.75,0.43,16.25,0.43,21.5,0.5,bending1
43.75,0.43,15.0,0.0,21.25,0.43,bending1
43.75,0.43,15.0,0.0,21.33,0.47,bending1
43.75,0.43,16.0,0.71,22.0,0.71,bending1
44.33,0.47,15.33,0.47,22.67,0.47,bending1
44.5,0.5,16.0,0.71,22.5,1.12,bending1
44.33,0.47,15.5,0.5,22.5,0.5,bending1
44.5,0.5,15.0,0.0,23.5,0.5,bending1
44.5,0.5,15.25,0.43,23.5,0.5,bending1
44.5,0.5,15.0,0.0,23.5,0.5,bending1
44.5,0.5,13.75,1.3,25.5,0.87,bending1
44.5,0.5,10.25,1.09,24.75,0.83,bending1
44.5,0.5,11.25,0.83,22.75,1.3,bending1
44.5,0.5,6.5,0.5,24.25,0.43,bending1
44.25,0.43,11.25,1.3,24.25,0.43,bending1
43.75,0.83,15.0,0.0,21.67,0.94,bending1
43.5,0.5,12.0,1.41,23.25,0.43,bending1
43.0,0.71,11.5,0.87,21.5,0.87,bending1
42.67,0.47,11.75,0.43,21.33,0.47,bending1
42.33,0.47,10.25,1.09,21.0,0.0,bending1
42.0,0.0,12.5,1.12,23.25,0.43,bending1
42.0,0.0,15.33,0.47,21.25,0.43,bending1
42.75,0.43,17.25,0.83,21.0,0.0,bending1
43.5,0.5,18.0,0.0,21.0,0.0,bending1
43.5,0.5,17.75,0.43,21.5,0.5,bending1
43.5,0.5,17.67,0.47,21.67,0.94,bending1
44.5,0.5,16.75,0.83,23.0,0.71,bending1
43.67,0.47,16.0,0.0,23.67,0.47,bending1
43.5,0.5,15.0,0.0,23.75,0.43,bending1
43.33,0.47,15.0,0.0,23.5,0.5,bending1
43.33,0.47,14.67,0.47,24.0,0.0,bending1
43.5,0.5,15.0,0.0,24.0,0.0,bending1
43.75,0.43,14.25,0.43,23.75,0.43,bending1
44.25,0.43,14.0,0.0,24.0,0.0,bending1
44.0,0.71,14.5,0.5,24.0,0.0,bending1
43.75,0.43,15.0,0.0,23.75,0.43,bending1
44.25,0.83,15.0,0.0,24.0,0.0,bending1
44.25,0.43,15.0,0.0,24.0,0.0,bending1
44.5,0.5,16.5,1.5,23.0,1.22,bending1
44.5,0.5,17.0,1.0,22.75,1.3,bending1
44.75,0.43,15.75,0.43,24.0,0.0,bending1
44.5,0.5,16.5,0.5,24.0,0.0,bending1
44.67,0.47,15.25,0.43,24.0,0.0,bending1
44.5,0.5,17.0,1.0,24.0,0.0,bending1
44.75,0.43,17.75,0.43,24.0,0.0,bending1
44.33,0.47,18.0,0.0,24.0,0.0,bending1
44.5,0.5,18.0,0.0,23.5,0.5,bending1
44.5,0.5,17.0,1.22,22.75,0.83,bending1
44.0,0.71,13.0,1.22,23.25,0.83,bending1
42.25,0.43,15.25,1.79,24.0,0.71,bending1
42.25,0.43,18.0,2.12,20.5,1.5,bending1
43.0,0.71,18.33,0.47,20.0,1.41,bending1
44.25,0.43,18.5,0.5,18.75,1.3,bending1
44.5,0.5,18.25,0.43,18.0,0.0,bending1
44.67,0.47,16.25,1.64,24.0,0.0,bending1
44.0,0.71,17.5,1.12,23.0,2.12,bending1
43.67,0.47,23.33,0.94,23.5,0.5,bending1
44.5,0.5,23.0,1.22,22.75,0.83,bending1
44.5,0.5,23.0,0.71,23.75,0.43,bending1
44.5,0.5,21.5,1.12,24.0,0.0,bending1
45.0,0.0,17.75,0.43,23.75,0.43,bending1
44.75,0.43,18.0,0.0,22.5,0.5,bending1
44.75,0.43,18.25,0.43,22.25,0.83,bending1
45.0,0.0,21.0,0.0,22.75,0.83,bending1
45.0,0.0,20.75,0.43,23.0,0.0,bending1
45.0,0.0,18.25,0.43,21.0,0.0,bending1
45.0,0.0,18.67,0.47,21.0,0.0,bending1
45.0,0.0,18.75,0.43,21.25,0.43,bending1
44.75,0.43,19.0,0.0,21.0,0.0,bending1
45.0,0.0,19.0,0.0,21.0,0.0,bending1
45.0,0.0,18.5,0.5,21.0,0.0,bending1
45.0,0.0,18.25,0.43,20.75,0.43,bending1
45.0,0.0,18.25,0.43,20.75,0.43,bending1
45.0,0.0,18.0,0.0,20.5,0.5,bending1
45.0,0.0,18.0,0.0,21.0,0.0,bending1
44.5,0.5,18.0,0.0,21.0,0.0,bending1
44.5,0.5,18.0,0.0,21.0,0.0,bending1
44.5,0.5,18.0,0.0,20.75,0.43,bending1
44.5,0.5,18.0,0.0,20.0,0.71,bending1
44.67,0.47,18.0,0.0,19.67,1.25,bending1
44.5,0.5,18.0,0.0,19.25,0.83,bending1
44.33,0.47,18.0,0.0,19.75,0.83,bending1
44.5,0.5,18.0,0.0,20.0,0.71,bending1
44.5,0.5,18.0,0.0,19.5,0.5,bending1
44.5,0.5,18.0,0.0,19.25,0.83,bending1
44.5,0.5,18.0,0.0,19.25,1.09,bending1
44.5,0.5,18.0,0.0,19.0,0.71,bending1
44.5,0.5,18.0,0.0,19.0,0.71,bending1
44.5,0.5,18.0,0.0,19.0,0.71,bending1
44.5,0.5,18.0,0.0,19.0,0.0,bending1
44.5,0.5,18.0,0.0,18.75,0.43,bending1
45.0,0.0,18.0,0.0,19.0,0.82,bending1
44.75,0.43,18.0,0.0,19.25,0.43,bending1
45.0,0.0,18.0,0.0,19.5,0.5,bending1
45.0,0.0,18.25,0.43,19.67,1.25,bending1
45.0,0.0,18.0,0.0,20.0,0.71,bending1
45.0,0.0,18.0,0.0,19.0,1.0,bending1
45.0,0.0,18.0,0.0,19.25,0.83,bending1
44.67,0.47,18.0,0.0,18.25,0.43,bending1
44.75,0.43,18.0,0.0,18.67,0.94,bending1
45.0,0.0,18.25,0.43,18.25,0.43,bending1
45.0,0.0,18.0,0.0,18.25,0.43,bending1
44.75,0.43,18.0,0.0,18.0,0.0,bending1
45.0,0.0,18.0,0.0,18.33,0.47,bending1
45.0,0.0,18.0,0.0,18.33,0.47,bending1
45.0,0.0,18.0,0.0,18.0,0.0,bending1
45.0,0.0,18.0,0.0,18.0,0.0,bending1
45.0,0.0,18.0,0.0,18.25,0.43,bending1
45.0,0.0,18.0,0.0,18.25,0.43,bending1
45.0,0.0,18.0,0.0,18.0,0.0,bending1
45.0,0.0,18.0,0.0,18.5,0.87,bending1
45.0,0.0,19.0,0.71,18.5,0.5,bending1
45.0,0.0,20.25,0.43,18.5,0.5,bending1
45.0,0.0,20.75,0.43,18.5,0.5,bending1
44.5,0.5,21.0,0.0,18.33,0.47,bending1
44.5,0.5,21.0,0.0,18.25,0.43,bending1
44.5,0.5,21.0,0.0,18.0,0.0,bending1
44.67,0.47,21.0,0.0,18.0,0.0,bending1
43.5,0.5,20.0,0.71,17.5,0.5,bending1
42.0,0.0,17.75,1.09,16.5,0.5,bending1
38.75,1.09,14.25,0.83,16.25,1.09,bending1
36.67,0.94,13.67,0.47,18.5,0.87,bending1
39.25,0.43,16.0,0.71,16.75,0.83,bending1
43.25,1.3,18.0,1.87,18.0,0.71,bending1
46.25,0.83,22.5,0.87,19.25,1.92,bending1
46.75,0.43,22.25,0.83,19.25,1.09,bending1
47.0,0.0,24.0,0.0,22.25,1.09,bending1
