"account_id";"district_id";"frequency";"date"
576;55;"POPLATEK MESICNE";930101
3818;74;"POPLATEK MESICNE";930101
704;55;"POPLATEK MESICNE";930101
2378;16;"POPLATEK MESICNE";930101
2632;24;"POPLATEK MESICNE";930102
1972;77;"POPLATEK MESICNE";930102
1539;1;"POPLATEK PO OBRATU";930103
793;47;"POPLATEK MESICNE";930103
2484;74;"POPLATEK MESICNE";930103
1695;76;"POPLATEK MESICNE";930103
1726;48;"POPLATEK MESICNE";930103
2881;70;"POPLATEK MESICNE";930104
2357;19;"POPLATEK MESICNE";930104
2177;62;"POPLATEK MESICNE";930104
485;6;"POPLATEK PO OBRATU";930104
652;21;"POPLATEK MESICNE";930105
9635;70;"POPLATEK MESICNE";930105
1844;44;"POPLATEK MESICNE";930106
1926;37;"POPLATEK MESICNE";930106
2393;10;"POPLATEK MESICNE";930107
3510;41;"POPLATEK MESICNE";930107
1276;36;"POPLATEK MESICNE";930107
1637;1;"POPLATEK MESICNE";930108
3871;26;"POPLATEK MESICNE";930108
192;55;"POPLATEK MESICNE";930108
764;1;"POPLATEK MESICNE";930108
2087;7;"POPLATEK TYDNE";930108
2122;68;"POPLATEK MESICNE";930108
3592;54;"POPLATEK MESICNE";930108
3487;41;"POPLATEK MESICNE";930108
435;38;"POPLATEK MESICNE";930108
1730;1;"POPLATEK MESICNE";930109
1493;41;"POPLATEK MESICNE";930109
374;38;"POPLATEK MESICNE";930109
2925;1;"POPLATEK MESICNE";930110
866;9;"POPLATEK MESICNE";930110
1628;60;"POPLATEK MESICNE";930110
2379;44;"POPLATEK MESICNE";930110
1979;26;"POPLATEK MESICNE";930111
346;37;"POPLATEK MESICNE";930111
1338;74;"POPLATEK MESICNE";930111
1909;14;"POPLATEK MESICNE";930112
2099;3;"POPLATEK TYDNE";930112
3760;44;"POPLATEK MESICNE";930113
5270;44;"POPLATEK MESICNE";930113
1699;53;"POPLATEK MESICNE";930114
3909;1;"POPLATEK MESICNE";930114
2926;50;"POPLATEK MESICNE";930114
1731;33;"POPLATEK MESICNE";930114
11265;15;"POPLATEK MESICNE";930114
2519;4;"POPLATEK MESICNE";930115
10364;55;"POPLATEK MESICNE";930117
1481;15;"POPLATEK MESICNE";930117
401;32;"POPLATEK MESICNE";930118
4034;1;"POPLATEK MESICNE";930118
2330;54;"POPLATEK MESICNE";930119
1806;40;"POPLATEK MESICNE";930119
3834;54;"POPLATEK MESICNE";930119
1222;66;"POPLATEK MESICNE";930120
212;27;"POPLATEK TYDNE";930120
456;49;"POPLATEK MESICNE";930121
459;47;"POPLATEK MESICNE";930121
772;45;"POPLATEK MESICNE";930121
1019;52;"POPLATEK MESICNE";930121
11295;74;"POPLATEK MESICNE";930121
2970;60;"POPLATEK MESICNE";930122
2676;73;"POPLATEK MESICNE";930122
1536;41;"POPLATEK TYDNE";930122
1179;74;"POPLATEK MESICNE";930123
280;25;"POPLATEK MESICNE";930123
2425;41;"POPLATEK MESICNE";930123
9307;68;"POPLATEK MESICNE";930124
4055;23;"POPLATEK MESICNE";930124
5065;66;"POPLATEK MESICNE";930124
3704;75;"POPLATEK MESICNE";930124
477;1;"POPLATEK MESICNE";930125
5891;54;"POPLATEK MESICNE";930125
1000;77;"POPLATEK MESICNE";930125
1750;1;"POPLATEK MESICNE";930126
2023;68;"POPLATEK MESICNE";930126
6473;12;"POPLATEK MESICNE";930126
1649;46;"POPLATEK MESICNE";930126
2670;13;"POPLATEK MESICNE";930127
1127;27;"POPLATEK MESICNE";930127
163;30;"POPLATEK MESICNE";930127
2566;48;"POPLATEK MESICNE";930127
9;70;"POPLATEK MESICNE";930127
1144;59;"POPLATEK MESICNE";930128
2902;32;"POPLATEK MESICNE";930128
4296;63;"POPLATEK MESICNE";930128
443;64;"POPLATEK MESICNE";930128
3693;61;"POPLATEK MESICNE";930129
2070;72;"POPLATEK MESICNE";930129
1843;12;"POPLATEK MESICNE";930130
2714;1;"POPLATEK MESICNE";930130
4078;40;"POPLATEK MESICNE";930130
1675;36;"POPLATEK MESICNE";930201
5868;44;"POPLATEK MESICNE";930202
1805;1;"POPLATEK MESICNE";930202
2434;17;"POPLATEK MESICNE";930202
3007;16;"POPLATEK MESICNE";930202
2574;68;"POPLATEK MESICNE";930202
862;64;"POPLATEK TYDNE";930202
1132;1;"POPLATEK TYDNE";930203
4484;54;"POPLATEK MESICNE";930203
943;1;"POPLATEK MESICNE";930203
3514;7;"POPLATEK MESICNE";930203
3983;67;"POPLATEK MESICNE";930204
9265;1;"POPLATEK MESICNE";930204
465;32;"POPLATEK MESICNE";930204
982;54;"POPLATEK MESICNE";930205
411;70;"POPLATEK MESICNE";930205
890;14;"POPLATEK MESICNE";930205
627;63;"POPLATEK MESICNE";930205
2429;61;"POPLATEK MESICNE";930206
3960;64;"POPLATEK MESICNE";930206
2256;48;"POPLATEK MESICNE";930206
8051;1;"POPLATEK TYDNE";930207
2647;73;"POPLATEK MESICNE";930208
2241;6;"POPLATEK MESICNE";930208
5622;70;"POPLATEK MESICNE";930208
2884;1;"POPLATEK MESICNE";930208
1830;10;"POPLATEK MESICNE";930208
7753;74;"POPLATEK MESICNE";930208
244;24;"POPLATEK MESICNE";930208
1477;1;"POPLATEK MESICNE";930208
4240;50;"POPLATEK MESICNE";930208
1006;6;"POPLATEK MESICNE";930208
830;74;"POPLATEK MESICNE";930208
9188;45;"POPLATEK MESICNE";930208
1965;57;"POPLATEK PO OBRATU";930208
1134;6;"POPLATEK MESICNE";930209
1601;10;"POPLATEK MESICNE";930209
2861;38;"POPLATEK MESICNE";930210
813;16;"POPLATEK MESICNE";930210
2585;75;"POPLATEK MESICNE";930210
2220;16;"POPLATEK MESICNE";930210
2763;64;"POPLATEK MESICNE";930211
2342;51;"POPLATEK MESICNE";930211
1944;72;"POPLATEK MESICNE";930212
1966;27;"POPLATEK MESICNE";930212
1801;46;"POPLATEK MESICNE";930213
2543;68;"POPLATEK MESICNE";930213
2293;31;"POPLATEK MESICNE";930213
11013;1;"POPLATEK TYDNE";930214
2423;30;"POPLATEK MESICNE";930214
142;51;"POPLATEK MESICNE";930215
3424;74;"POPLATEK MESICNE";930216
539;13;"POPLATEK PO OBRATU";930216
979;21;"POPLATEK MESICNE";930216
3554;66;"POPLATEK MESICNE";930216
3545;51;"POPLATEK MESICNE";930217
3047;16;"POPLATEK MESICNE";930217
3374;21;"POPLATEK MESICNE";930217
