"card_id";"disp_id";"type";"issued"
1005;9285;"classic";931107 00:00:00
104;588;"classic";940119 00:00:00
747;4915;"classic";940205 00:00:00
70;439;"classic";940208 00:00:00
577;3687;"classic";940215 00:00:00
377;2429;"classic";940303 00:00:00
721;4680;"junior";940405 00:00:00
437;2762;"classic";940601 00:00:00
188;1146;"classic";940619 00:00:00
13;87;"classic";940629 00:00:00
732;4763;"classic";940721 00:00:00
181;1066;"classic";940819 00:00:00
384;2475;"junior";940915 00:00:00
309;1946;"classic";940919 00:00:00
478;3084;"classic";941009 00:00:00
563;3589;"classic";941021 00:00:00
369;2363;"classic";941108 00:00:00
376;2428;"classic";941110 00:00:00
483;3115;"classic";941124 00:00:00
174;1039;"junior";941204 00:00:00
658;4251;"classic";941225 00:00:00
763;5138;"junior";941230 00:00:00
778;5275;"classic";950102 00:00:00
1039;9837;"classic";950107 00:00:00
477;3082;"junior";950116 00:00:00
168;1018;"classic";950124 00:00:00
314;1999;"junior";950127 00:00:00
468;3023;"classic";950130 00:00:00
208;1246;"gold";950208 00:00:00
766;5200;"classic";950211 00:00:00
464;2984;"classic";950221 00:00:00
497;3184;"classic";950303 00:00:00
166;999;"classic";950305 00:00:00
15;114;"classic";950305 00:00:00
503;3225;"classic";950308 00:00:00
1038;9787;"junior";950330 00:00:00
737;4791;"classic";950413 00:00:00
418;2623;"classic";950414 00:00:00
759;5117;"junior";950418 00:00:00
223;1353;"classic";950418 00:00:00
5;51;"junior";950424 00:00:00
159;946;"classic";950501 00:00:00
1223;13231;"junior";950502 00:00:00
662;4293;"classic";950509 00:00:00
779;5323;"junior";950521 00:00:00
1040;9890;"junior";950528 00:00:00
545;3458;"classic";950530 00:00:00
467;3019;"classic";950605 00:00:00
1247;13660;"classic";950613 00:00:00
652;4211;"classic";950616 00:00:00
559;3573;"classic";950617 00:00:00
719;4663;"classic";950624 00:00:00
397;2513;"classic";950624 00:00:00
107;593;"classic";950627 00:00:00
661;4270;"classic";950703 00:00:00
484;3116;"classic";950704 00:00:00
501;3197;"classic";950709 00:00:00
422;2650;"junior";950711 00:00:00
705;4555;"classic";950712 00:00:00
410;2569;"classic";950720 00:00:00
136;778;"classic";950728 00:00:00
592;3782;"junior";950807 00:00:00
262;1647;"junior";950824 00:00:00
18;128;"classic";950825 00:00:00
3;41;"gold";950903 00:00:00
98;537;"classic";950906 00:00:00
167;1011;"classic";950915 00:00:00
97;531;"junior";950919 00:00:00
699;4532;"classic";950926 00:00:00
342;2157;"classic";950927 00:00:00
713;4627;"classic";950930 00:00:00
118;652;"classic";951022 00:00:00
783;5433;"junior";951024 00:00:00
1103;11189;"classic";951104 00:00:00
504;3230;"junior";951106 00:00:00
261;1629;"gold";951109 00:00:00
296;1876;"gold";951113 00:00:00
113;629;"junior";951116 00:00:00
92;508;"classic";951120 00:00:00
1225;13268;"classic";951122 00:00:00
393;2498;"junior";951203 00:00:00
