"loan_id";"account_id";"date";"amount";"duration";"payments";"status"
5314;1787;930705;96396;12;8033.00;"B"
5316;1801;930711;165960;36;4610.00;"A"
6863;9188;930728;127080;60;2118.00;"A"
5325;1843;930803;105804;36;2939.00;"A"
7240;11013;930906;274740;60;4579.00;"A"
6687;8261;930913;87840;24;3660.00;"A"
7284;11265;930915;52788;12;4399.00;"A"
6111;5428;930924;174744;24;7281.00;"B"
7235;10973;931013;154416;48;3217.00;"A"
5997;4894;931104;117024;24;4876.00;"A"
7121;10364;931110;21924;36;609.00;"A"
6077;5270;931122;79608;24;3317.00;"A"
6228;6034;931201;464520;60;7742.00;"B"
6356;6701;931208;95400;36;2650.00;"A"
5523;2705;931208;93888;36;2608.00;"A"
6456;7123;931209;47016;12;3918.00;"A"
7104;10320;931213;259740;60;4329.00;"A"
6820;9034;931216;38148;12;3179.00;"A"
6876;9236;931221;86616;12;7218.00;"A"
7097;10266;931223;75624;24;3151.00;"B"
4959;2;940105;80952;24;3373.00;"A"
6499;7401;940105;80952;24;3373.00;"A"
5479;2486;940110;24516;12;2043.00;"A"
5170;1071;940120;253200;60;4220.00;"C"
6721;8475;940121;21072;24;878.00;"A"
7259;11111;940131;108144;36;3004.00;"A"
5285;1603;940206;78936;12;6578.00;"A"
5189;1166;940207;149040;48;3105.00;"A"
6650;8073;940217;49320;12;4110.00;"B"
7226;10940;940223;197748;36;5493.00;"A"
6087;5313;940227;300660;60;5011.00;"C"
7262;11135;940301;182628;36;5073.00;"A"
5519;2694;940308;91632;12;7636.00;"A"
6577;7753;940311;51696;24;2154.00;"A"
6509;7445;940315;55368;24;2307.00;"A"
6520;7485;940316;91200;24;3800.00;"A"
6699;8330;940330;7656;24;319.00;"A"
6336;6555;940331;212400;36;5900.00;"A"
7055;10079;940406;167100;60;2785.00;"C"
6103;5385;940407;149340;60;2489.00;"C"
6202;5891;940418;65184;12;5432.00;"A"
7066;10131;940502;215388;36;5983.00;"B"
6696;8321;940509;89040;60;1484.00;"C"
6072;5256;940510;193968;36;5388.00;"A"
5130;813;940511;24312;12;2026.00;"A"
5568;2933;940517;272520;60;4542.00;"C"
6678;8173;940520;80340;12;6695.00;"A"
6998;9833;940521;97632;12;8136.00;"A"
6580;7769;940522;196080;48;4085.00;"A"
6316;6473;940526;76908;12;6409.00;"B"
6512;7454;940526;63312;48;1319.00;"A"
6407;6930;940526;25944;24;1081.00;"A"
5002;173;940531;104808;12;8734.00;"A"
6647;8051;940601;208320;48;4340.00;"A"
7137;10439;940603;151560;24;6315.00;"A"
6903;9337;940604;52128;24;2172.00;"A"
5918;4576;940604;300204;36;8339.00;"A"
6642;8027;940605;77640;12;6470.00;"A"
6210;5927;940606;87216;48;1817.00;"B"
6279;6273;940607;87360;24;3640.00;"A"
7249;11065;940612;69360;48;1445.00;"A"
6736;8558;940614;288360;60;4806.00;"C"
6112;5442;940617;174744;24;7281.00;"B"
5319;1811;940623;239460;60;3991.00;"C"
6596;7844;940625;91584;24;3816.00;"A"
5837;4260;940629;244560;60;4076.00;"C"
5657;3354;940705;4980;12;415.00;"A"
5533;2762;940705;111384;24;4641.00;"A"
6232;6051;940708;276660;36;7685.00;"B"
6888;9265;940711;39576;12;3298.00;"A"
6066;5228;940711;173808;24;7242.00;"A"
5549;2824;940716;50460;60;841.00;"C"
5060;426;940719;252060;60;4201.00;"D"
6004;4937;940723;143904;24;5996.00;"A"
5126;790;940724;208128;48;4336.00;"B"
7220;10911;940728;131292;36;3647.00;"A"
6668;8129;940730;74736;36;2076.00;"A"
5395;2176;940730;299088;36;8308.00;"B"
6836;9093;940803;189300;60;3155.00;"C"
6064;5215;940804;14628;12;1219.00;"A"
6919;9403;940805;120888;36;3358.00;"A"
6841;9104;940807;172080;48;3585.00;"A"
6038;5120;940810;323472;48;6739.00;"A"
6729;8519;940811;74688;12;6224.00;"A"
7198;10788;940823;45768;12;3814.00;"A"
6686;8260;940825;224604;36;6239.00;"A"
5836;4259;940827;79632;24;3318.00;"A"
7061;10105;940827;121896;24;5079.00;"A"
5595;3050;940902;82896;12;6908.00;"A"
5723;3674;940910;23628;12;1969.00;"A"
6120;5481;940911;209184;48;4358.00;"A"
6895;9307;940919;41904;12;3492.00;"A"
5882;4427;940926;87816;12;7318.00;"A"
5754;3834;940928;23052;12;1921.00;"A"
6594;7824;940928;189696;24;7904.00;"B"
6738;8566;940929;230220;36;6395.00;"B"
6624;7965;940930;71460;12;5955.00;"A"
6216;5952;940930;141240;24;5885.00;"A"
6229;6040;941002;11736;24;489.00;"A"
5887;4448;941003;192744;36;5354.00;"A"
6808;8982;941012;227880;36;6330.00;"A"
6297;6363;941025;17508;12;1459.00;"A"
5161;1012;941028;98184;24;4091.00;"A"
5390;2167;941030;170256;24;7094.00;"A"
6150;5622;941102;83016;12;6918.00;"A"
6223;5991;941103;61056;48;1272.00;"A"
5032;290;941103;123696;48;2577.00;"A"
6253;6148;941104;59760;24;2490.00;"A"
6460;7133;941106;48672;36;1352.00;"A"
6645;8041;941106;140400;36;3900.00;"A"
5176;1106;941112;192552;24;8023.00;"B"
5269;1527;941119;164052;36;4557.00;"B"
5351;1978;941204;205200;36;5700.00;"A"
5861;4337;941208;51408;24;2142.00;"A"
5450;2345;941211;199680;60;3328.00;"C"
7142;10451;941219;482940;60;8049.00;"D"
6306;6425;941220;36684;12;3057.00;"A"
6272;6226;941220;398640;60;6644.00;"C"
5044;344;941221;100980;60;1683.00;"C"
5576;2962;941221;31248;12;2604.00;"A"
7192;10738;941221;115992;36;3222.00;"A"
5739;3747;950102;76380;12;6365.00;"A"
6526;7523;950103;288468;36;8013.00;"A"
5624;3166;950103;177744;48;3703.00;"D"
6244;6118;950108;270648;36;7518.00;"B"
5131;816;950108;48624;24;2026.00;"A"
6960;9640;950111;76416;24;3184.00;"A"
6358;6715;950114;137880;60;2298.00;"D"
5418;2245;950116;347952;48;7249.00;"C"
6598;7857;950118;68112;12;5676.00;"A"
5464;2419;950130;95808;12;7984.00;"A"
6591;7819;950202;20832;48;434.00;"C"
5724;3678;950205;316140;60;5269.00;"D"
6315;6472;950206;43164;12;3597.00;"A"
5876;4413;950208;221280;48;4610.00;"C"
6986;9750;950211;151728;48;3161.00;"D"
6294;6353;950212;79920;60;1332.00;"C"
5132;817;950217;538500;60;8975.00;"C"
5877;4414;950223;97224;24;4051.00;"A"
6227;6030;950304;28248;24;1177.00;"A"
7241;11021;950304;168984;24;7041.00;"B"
6737;8564;950311;76680;24;3195.00;"A"
7004;9869;950315;331560;60;5526.00;"C"
6169;5700;950316;103680;60;1728.00;"D"
5208;1247;950316;99696;48;2077.00;"D"
6694;8316;950319;134784;24;5616.00;"A"
5599;3064;950321;15420;12;1285.00;"A"
6546;7607;950327;31728;24;1322.00;"A"
5414;2228;950329;185952;48;3874.00;"C"
5453;2361;950401;156672;36;4352.00;"A"
5740;3752;950402;18564;12;1547.00;"A"
5804;4079;950405;158976;48;3312.00;"C"
6745;8625;950410;47304;24;1971.00;"A"
6950;9591;950411;104712;24;4363.00;"A"
6996;9828;950413;126600;24;5275.00;"A"
5352;1993;950415;68400;12;5700.00;"B"
6151;5628;950425;225420;60;3757.00;"C"
5310;1762;950428;248148;36;6893.00;"A"
5045;347;950501;187224;24;7801.00;"B"
6929;9472;950508;36396;12;3033.00;"A"
5151;960;950524;189060;60;3151.00;"C"
5212;1256;950529;71064;36;1974.00;"A"
5138;854;950530;87216;48;1817.00;"C"
5713;3629;950530;158760;60;2646.00;"C"
6704;8377;950601;417060;60;6951.00;"C"
6474;7190;950606;63360;60;1056.00;"C"
6676;8159;950613;29784;24;1241.00;"A"
6965;9656;950613;139536;24;5814.00;"A"
6725;8489;950623;265320;36;7370.00;"A"
7166;10630;950624;198240;24;8260.00;"A"
7138;10440;950703;60000;60;1000.00;"C"
5970;4774;950709;465072;48;9689.00;"C"
6157;5650;950710;98592;24;4108.00;"A"
6153;5632;950725;285600;60;4760.00;"C"
5693;3489;950801;44088;24;1837.00;"A"
5922;4580;950805;20220;12;1685.00;"A"
5959;4727;950811;107640;24;4485.00;"A"
5980;4825;950818;21396;12;1783.00;"A"
6764;8776;950826;33984;48;708.00;"C"
5237;1375;950829;45336;24;1889.00;"A"
6726;8492;950903;85860;60;1431.00;"C"
6933;9493;950909;188688;48;3931.00;"C"
5145;915;950916;309552;48;6449.00;"C"
7008;9897;950922;36168;12;3014.00;"A"
7227;10942;951002;314520;60;5242.00;"C"
6600;7861;951008;21852;36;607.00;"A"
6712;8405;951014;266220;60;4437.00;"C"
7057;10093;951020;231696;36;6436.00;"A"
7176;10663;951028;260028;36;7223.00;"A"
7304;11349;951029;419880;60;6998.00;"C"
