Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2000,36185,47723,18213,31293,38710,17992,3614,558,207,36185,50148,18596,36185,2071,0,1928,210901,19684,1331,222191,20773,17264,27555,5917,51394,68531,1110
2006,83,80905,58150,74,82733,67658,21,1042,-807,83,84710,64709,83,3804,641,4,69983,42054,4,48971,18508,67,28142,19359,137,90315,15544
2007,4769,46549,31474,4153,47386,34366,548,-1242,-794,4769,48309,32568,4769,1740,300,384,575099,19960,334,639499,9233,3071,15649,9115,6711,41670,5225
2008,5607,108816,41151,5008,53418,42892,612,1818,-1728,5607,112819,42741,5607,3917,430,548,53329,19722,481,32173,9385,4061,53976,10583,7676,54245,10373
2009,9726,82938,50604,8167,74068,55243,1714,-2412,-1520,9726,86503,53311,9726,3433,570,736,237539,26044,666,222993,11982,7358,32430,14835,12718,126486,20494
2010,20287,79838,53444,17554,73680,56091,2876,-877,-1096,20287,83228,56081,20287,3318,729,2196,90741,24290,2039,56258,11463,16239,28239,14274,29034,85871,20092
2011,14945,85971,55019,12444,74984,56944,2232,209,-746,14945,90244,58105,14945,4047,810,1584,113791,32638,1511,74447,13491,11747,32172,15085,21718,135401,22082
2015,7254,72810,60610,6471,73234,64324,1161,-2555,-2237,7254,75964,63666,7254,3078,1130,762,64191,22448,733,43379,10510,6206,21511,14941,8797,92577,42744
2016,8281,68611,52731,7227,66146,55890,1163,-1335,-927,8281,71755,55123,8281,2967,794,1020,75671,25240,953,48255,11574,6686,21479,13217,11486,81397,23682
2017,12727,62869,53468,11306,65256,57934,1755,-5038,-3687,12727,65877,56223,12727,2936,970,1124,113216,23466,1008,97041,11048,10244,18434,13151,15217,58990,22396
2018,8727,54493,44235,7153,57457,50000,1571,727,-555,8727,57124,47003,8727,2503,767,920,75985,36475,882,55054,16502,6711,15415,10143,10620,70792,26809
2019,6159,61563,51627,5333,63921,56316,976,-644,-1527,6159,64600,54380,6159,3000,1302,581,74803,35683,562,50908,16398,5053,17109,12054,7295,97641,52997
2020,8972,55337,47604,7700,58808,52556,1573,-945,-1973,8972,57976,50138,8972,2594,960,756,59664,30896,731,40733,13316,7119,15029,10910,10349,71596,29805
2021,10689,118200,64510,8402,97133,65641,1933,-90,-37,10689,123481,68690,10689,4974,1131,1303,142707,31977,1253,70226,14844,8868,47586,18068,13667,197126,41856
2022,9039,82920,50683,6833,75905,54446,1482,5902,1534,9039,86625,53450,9039,3593,708,1150,109907,28851,1053,61519,12375,7021,31425,14064,11621,127776,21061
2023,7159,163820,65948,4836,101640,58494,1418,8574,3407,7159,175630,71601,7159,11277,1148,955,235846,45780,909,148157,19198,5874,74339,19371,8220,390684,48968
2024,7381,113344,58670,5703,92542,61214,1433,2792,234,7381,118882,62850,7381,5238,1097,1028,121193,34630,980,68706,16356,5995,46371,16586,9049,165818,45788
2025,5337,141298,64770,3642,98176,64722,1006,5880,2199,5337,150041,69743,5337,8562,1165,690,241981,42844,674,170992,18400,4263,62455,19514,6166,319632,52970
2026,23617,86058,54133,19325,77178,56954,3520,2641,578,23617,92738,57416,23617,6549,916,3078,84108,27973,2916,53283,12686,18661,32122,15048,33705,93103,19762
2027,6109,189293,69546,3832,104678,63922,1392,5185,4462,6109,203007,75027,6109,12904,1245,705,185213,39720,684,110410,17807,5000,89443,20050,6800,498813,57749
2028,3492,138959,63922,2400,101137,62350,709,7091,1811,3492,150803,69058,3492,11173,1042,398,167570,39104,380,120450,17016,2875,59839,18160,3976,350900,40442
2029,6946,105681,57648,4745,82255,56875,1292,9440,4597,6946,111597,61921,6946,5688,988,862,161838,39086,849,101051,16662,5487,43201,17341,7793,280535,45901
2030,9786,185684,62261,6135,103918,53713,2283,8718,4282,9786,200758,67342,9786,14468,857,1188,240400,49510,1131,156973,20854,7791,90485,19311,10244,400779,58785
2031,23078,84639,57795,18756,77828,61278,3815,2124,37,23078,88580,60954,23078,3807,1034,2610,108942,34582,2492,62854,14586,18702,29988,15519,28442,124594,39103
2032,8408,58458,41779,6631,57735,45602,1612,4779,2513,8408,61084,44104,8408,2523,568,764,100313,30027,699,69752,12764,6049,19606,10934,10641,88878,19952
2033,7141,69138,47025,5770,63617,49958,1188,4553,1212,7141,72300,49984,7141,3096,685,704,127554,30324,661,83105,14454,5422,24042,12600,8726,116403,24359
2034,14017,85733,58955,11453,79339,62083,2762,2940,38,14017,89755,62436,14017,3922,1147,1501,110268,30066,1434,67458,13212,11442,30094,16020,18001,131342,33793
2035,20950,71090,48996,16376,66006,53160,4413,4182,973,20950,74316,51702,20950,3117,819,2060,96605,30615,1964,65479,13853,16248,24374,12672,24460,121386,38712
2036,16217,60829,46686,13223,61902,51775,3248,927,-236,16217,63819,49437,16217,2897,973,1432,90424,32342,1386,62809,15068,12643,18221,11231,19247,113570,42859
2037,9525,78117,49195,7968,68734,52408,1460,845,286,9525,81939,52000,9525,3720,698,1031,89855,23675,963,52028,9703,7350,28717,13136,12827,132217,25398
2038,5961,86976,61016,4946,81705,63839,1096,107,-150,5961,90728,64072,5961,3589,1075,724,77377,30648,692,41904,13506,4908,30263,17172,7349,154396,60630
2039,5751,95474,67274,4648,92311,73696,1227,-1052,-1366,5751,99972,71535,5751,4303,1357,654,77532,28468,624,48661,13916,4762,34301,19380,7216,162277,64653
2040,13200,82041,60551,11135,80398,64898,2364,-238,-708,13200,85239,63631,13200,3153,1069,1530,99804,28920,1475,65617,12358,10917,27351,16516,16239,124811,60803
2041,10905,116682,68829,8344,102263,72782,2353,32,-771,10905,122541,72855,10905,5646,1268,1302,113970,35720,1278,61416,13866,8963,46475,20390,13316,246315,73711
